Year,Market_Name,Total Revenue,State
2011,LOS ANGELES,26212674.080004413,CA
2011,NEW YORK,21566451.109998524,NY
2011,CHICAGO,14315358.299999902,IL
2011,BOSTON,13723807.859999282,MA
2011,"PHOENIX, AZ",11339377.23999909,AZ
2011,PHILADELPHIA,10240971.189999357,PA
2011,"WASHINGTON, DC",10143724.03999889,DC
2011,SAN DIEGO,9829009.249999613,CA
2011,HOUSTON,9755436.819999548,TX
2011,NEW ENGLAND,9658100.809999645,NE
2011,SEATTLE/TACOMA,9398524.509999529,WA
2011,KANSAS CITY,8792248.05999931,MO
2011,SAN FRANCISCO,8751011.229999578,CA
2011,ST. LOUIS,8676166.389999865,MO
2011,SOUTH CAROLINA,8644530.619999526,SC
2011,"DALLAS, TX",8582299.179999648,TX
2011,DETROIT,7610125.609999702,MI
2011,ATLANTA,7583144.579999199,GA
2011,"PORTLAND,OR",7176116.919999705,OR
2011,SACRAMENTO,6845636.629999688,CA
2011,BUFFALO/ROCHESTER,6801680.709999809,NY
2011,HARTFORD,6799551.559999819,CT
2011,RALEIGH/DURHAM,6622650.689999392,NC
2011,WEST TEX/NEW MEX,6599196.309999879,TX
2011,SYRACUSE,6039718.509999875,NY
2011,HARRISBURG/SCRANT,5672308.619999716,PA
2011,CHARLOTTE,5663423.669999591,NC
2011,INDIANAPOLIS,5379392.629999829,IN
2011,RICHMOND/NORFOLK,4768045.369999836,VA
2011,GRAND RAPIDS,4212073.759999929,MI
2011,ROANOKE,4191503.1599997054,VA
2011,MINNEAPOLIS/ST. P,4190863.299999913,MN
2011,BIRMINGHAM/MONTG.,4056485.859999954,AL
2011,OMAHA,3631928.439999959,NE
2011,KNOXVILLE,3521173.92999993,TN
2011,"PROVIDENCE,RI",3314465.25999995,RI
2011,TOLEDO,3210418.3799999803,OH
2011,MISSISSIPPI,2878488.2299999697,MS
2011,MILWAUKEE,2789252.7399998773,WI
2011,SALT LAKE CITY,2595849.139999948,UT
2011,PEORIA/SPRINGFLD.,2558847.569999961,IL
2011,CLEVELAND,2546103.649999895,OH
2011,,2498512.709999976,
2011,DES MOINES,2260901.269999958,IA
2011,PITTSFIELD,2056329.1999997408,MA
2011,EAU CLAIRE,2025261.5199998545,WI
2011,"NEW ORLEANS, LA",2001086.399999951,LA
2011,SPOKANE,1511408.2800000033,WA
2011,GREEN BAY,1445149.7099999876,WI
2011,OKLAHOMA CITY,774799.9700000039,OK
2011,"TULSA,OK",592777.2100000014,OK
2012,LOS ANGELES,27206073.270004123,CA
2012,NEW YORK,22033103.97999847,NY
2012,CHICAGO,14271018.740000326,IL
2012,BOSTON,13426455.239999227,MA
2012,"PHOENIX, AZ",11554964.549999136,AZ
2012,HOUSTON,10682376.709999494,TX
2012,"WASHINGTON, DC",10646537.64999909,DC
2012,"DALLAS, TX",10254810.999999518,TX
2012,PHILADELPHIA,10182993.659999426,PA
2012,SAN DIEGO,9972339.399999617,CA
2012,SEATTLE/TACOMA,9706378.319999363,WA
2012,NEW ENGLAND,9450999.159999678,NE
2012,SAN FRANCISCO,9275258.699999526,CA
2012,SOUTH CAROLINA,8848216.929999582,SC
2012,KANSAS CITY,8678204.059999425,MO
2012,ST. LOUIS,8627637.959999917,MO
2012,DETROIT,8304050.189999577,MI
2012,WEST TEX/NEW MEX,8106277.039999646,TX
2012,ATLANTA,7929131.329999007,GA
2012,BUFFALO/ROCHESTER,7462955.659999641,NY
2012,"PORTLAND,OR",7399488.919999682,OR
2012,SACRAMENTO,6990578.979999503,CA
2012,HARTFORD,6958915.719999831,CT
2012,RALEIGH/DURHAM,6770157.989999405,NC
2012,SYRACUSE,6530865.659999786,NY
2012,HARRISBURG/SCRANT,5801934.109999703,PA
2012,CHARLOTTE,5735544.439999685,NC
2012,INDIANAPOLIS,5529535.199999784,IN
2012,RICHMOND/NORFOLK,5235025.559999826,VA
2012,MINNEAPOLIS/ST. P,5096928.419999902,MN
2012,ROANOKE,4355972.759999603,VA
2012,GRAND RAPIDS,4265491.899999955,MI
2012,OMAHA,4080967.1999999327,NE
2012,BIRMINGHAM/MONTG.,4058102.989999938,AL
2012,"PROVIDENCE,RI",3526217.669999953,RI
2012,KNOXVILLE,3518794.7099999283,TN
2012,MISSISSIPPI,3275261.959999936,MS
2012,TOLEDO,3271707.939999975,OH
2012,DES MOINES,3168174.8199999207,IA
2012,MILWAUKEE,3096915.699999858,WI
2012,PEORIA/SPRINGFLD.,2869211.7699999544,IL
2012,SALT LAKE CITY,2772363.9399999045,UT
2012,CLEVELAND,2424158.149999935,OH
2012,EAU CLAIRE,2289329.7599998694,WI
2012,"NEW ORLEANS, LA",2147151.12999994,LA
2012,SPOKANE,1976963.759999995,WA
2012,PITTSFIELD,1929710.5199998624,MA
2012,GREEN BAY,1456109.51999998,WI
2012,OKLAHOMA CITY,853315.5799999943,OK
2012,"TULSA,OK",822167.5900000012,OK